Month	Date	Mean station level air pressure (hPa)	Mean sea level air pressure (hPa)	Total rainfall (mm)	Maximum rainfall per hour (mm)	Maximum rainfall per 10 minutes (mm)	Mean air temperature (℃)	Maximum temperature　(℃)	Minimum temperature　(℃)	Mean relative humidity　(%)	Minimum relative humidity (%)	Mean wind speed (m/s)	Maximum wind speed (m/s)	Direction of Maximum wind speed	Maximum instantaneous wind speed (m/s)	Direction of Maximum instantaneous wind speed	Sunshine duration (h)	Total snowfall (cm)	Maximum depth of snow cover (cm)	Meteorological summary 6:00-18:00	Meteorological summary 18:00- next day 6:00	
3	28	1021.4	1026.0	0.0	0.0	0.0	8.6	12.7	4.4	37	18	2.5	4.7	南	7.8	東南東	11.4	--	--	快晴	快晴	
3	29	1017.1	1021.6	--	--	--	10.9	15.3	5.2	42	20	2.8	6.2	南東	9.8	南南東	11.5	--	--	快晴	晴一時曇	
3	30	1012.1	1016.5	0.0	0.0	0.0	11.6	16.5	6.7	46	22	3.1	6.9	南南東	11.8	北西	10.6	--	--	晴	曇時々晴一時雨	
3	31	1013.4	1017.8	0.0	0.0	0.0	9.7	15.5	5.8	49	26	2.8	7.2	北北西	12.5	北北西	7.9	--	--	晴後一時雨	快晴	
4	1	1017.1	1021.5	--	--	--	11.2	15.7	6.6	42	25	3.5	7.1	南	13.1	南南西	11.8	--	--	快晴	晴後一時薄曇	
4	2	1008.9	1013.3	--	--	--	13.4	18.4	9.1	43	24	2.2	7.0	北西	13.1	北西	3.4	--	--	薄曇後時々晴	曇	
4	3	1012.8	1017.3	0.0	0.0	0.0	7.9	9.9	6.9	39	22	3.3	7.3	北北西	14.1	北北西	0.0	--	--	曇	曇	
4	4	1016.2	1020.7	--	--	--	9.0	13.9	5.9	35	9	3.2	6.7	北北西	12.1	北北西	10.8	--	--	晴	快晴	
4	5	1020.3	1024.8	--	--	--	10.1	15.4	4.3	28	14	2.3	4.5	南西	8.6	南南西	12.0	--	--	快晴	快晴	
4	6	1021.3	1025.7	--	--	--	13.7	19.1	7.7	35	15	3.0	5.7	南南東	9.4	南南西	12.0	--	--	快晴	晴後一時薄曇	
4	7	1019.6	1024.0	--	--	--	15.7	20.6	10.3	46	28	4.1	8.2	南	15.4	南南西	5.3	--	--	曇後一時晴	晴後一時薄曇	
4	8	1014.2	1018.5	0.0	0.0	0.0	17.2	18.7	15.5	50	40	7.1	10.9	南	19.6	南南西	1.6	--	--	曇	曇後時々雨	
4	9	1012.1	1016.5	0.5	0.5	0.5	16.1	18.0	12.3	74	55	4.9	8.8	南	16.1	南南西	0.0	--	--	曇時々雨	曇時々雨	
4	10	1011.9	1016.2	--	0.0	--	13.7	17.7	10.3	57	34	3.1	5.6	南東	8.7	南東	5.4	--	--	曇時々晴	曇後時々晴	
4	11	1004.1	1008.5	12.0	5.5	1.5	13.7	19.3	8.6	64	41	2.8	7.2	北西	11.4	北西	5.9	--	--	曇時々晴後一時雨	雨時々曇後一時晴	
4	12	1010.0	1014.4	0.5	0.5	0.5	11.4	15.7	7.6	29	12	4.7	10.3	北西	17.4	北西	11.7	--	--	快晴	快晴	
